location,investigation_type,event_date,country,injury_severity,aircraft_category,make,model,number_of_engines,engine_type,total_fatal_injuries,total_uninjured,total_serious_injuries,total_minor_injuries,latitude,longitude,amateur_built,city,state
"fairhope, al",accident,2001-11-20,united states,non-fatal,airplane,cessna,175a,1.0,reciprocating,0.0,0.0,0.0,0.0,30.461667,-87.9,no,fairhope,al
"stuart, fl",accident,2001-11-20,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,1.0,0.0,1.0,27.083056,-80.341111,no,stuart,fl
"evans, ga",accident,2001-11-20,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,0.0,1.0,0.0,33.371945,-82,no,evans,ga
"crystal river, fl",accident,2001-11-20,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,crystal river,fl
"memphis, tn",accident,2001-11-20,united states,non-fatal,airplane,boeing,727-233,3.0,turbo fan,0.0,0.0,0.0,0.0,35.059444,-90.083056,no,memphis,tn
"brookville, pa",accident,2001-11-21,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,1.0,0.0,1.0,41.161667,-79.082778,no,brookville,pa
"milton, fl",accident,2001-11-21,united states,non-fatal,airplane,beech,a36,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,milton,fl
"west chester, pa",accident,2001-11-21,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,39.99,-75.581667,no,west chester,pa
"falmouth, ma",accident,2001-11-21,united states,fatal(1),airplane,beech,95-b55,2.0,reciprocating,1.0,0.0,0.0,0.0,41.522223,-70.564444,no,falmouth,ma
"eagleville, ca",accident,2001-11-21,united states,fatal(5),airplane,aero commander,500s,2.0,reciprocating,5.0,0.0,0.0,0.0,41.285833,-120.194722,no,eagleville,ca
"paris, tx",accident,2001-11-22,united states,non-fatal,airplane,beech,be-35c,1.0,reciprocating,0.0,0.0,0.0,0.0,33.636666,-95.450556,no,paris,tx
"paris, tx",accident,2001-11-22,united states,non-fatal,airplane,piper,j3c-65,1.0,reciprocating,0.0,0.0,0.0,0.0,33.636666,-95.450556,no,paris,tx
"new braunfels, tx",accident,2001-11-22,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,new braunfels,tx
"marion, tx",accident,2001-11-22,united states,non-fatal,airplane,globe,gc-1b,1.0,reciprocating,0.0,1.0,1.0,1.0,unknown,unknown,no,marion,tx
"hilton head, sc",accident,2001-11-22,united states,fatal(2),airplane,mooney,m-20-20,1.0,reciprocating,2.0,0.0,0.0,0.0,32.116667,-80.4,no,hilton head,sc
"tallassee, al",accident,2001-11-22,united states,fatal(2),airplane,enstrom,280fx,1.0,reciprocating,2.0,0.0,1.0,0.0,32.519723,-85.8925,no,tallassee,al
"pittsburgh, pa",accident,2001-11-22,united states,fatal(2),airplane,gates learjet,25b,2.0,turbo fan,2.0,0.0,0.0,0.0,44.683333,-73.516667,no,pittsburgh,pa
"ben wheeler, tx",accident,2001-11-22,united states,fatal(1),airplane,piper,pa-28-160,1.0,reciprocating,1.0,0.0,0.0,0.0,32.401389,-95.5425,no,ben wheeler,tx
"barceloneta, pr",accident,2001-11-23,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,2.0,0.0,2.0,unknown,unknown,no,barceloneta,pr
"snohomish, wa",accident,2001-11-24,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,snohomish,wa
"gilchrist, tx",accident,2001-11-24,united states,non-fatal,airplane,cessna,140,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,gilchrist,tx
"harrisonville, mo",accident,2001-11-25,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,harrisonville,mo
"olympia, wa",accident,2001-11-26,united states,non-fatal,airplane,luscombe,8c,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,olympia,wa
"reidsville, ga",accident,2001-11-26,united states,non-fatal,airplane,cessna,310c,2.0,reciprocating,0.0,5.0,0.0,5.0,32.058889,-82.151667,no,reidsville,ga
"evansville, in",accident,2001-11-27,united states,fatal(2),airplane,mooney,m20m,1.0,reciprocating,2.0,0.0,0.0,0.0,38.037222,-87.530556,no,evansville,in
"pompano beach, fl",accident,2001-11-29,united states,non-fatal,airplane,grumman american,aa-1c,1.0,reciprocating,0.0,0.0,2.0,0.0,26.247222,-80.111111,no,pompano beach,fl
"henderson, nv",accident,2001-11-29,united states,non-fatal,airplane,beech,b95,2.0,reciprocating,0.0,0.0,0.0,0.0,35.972778,-115.134444,no,henderson,nv
"flagstaff, az",accident,2001-11-29,united states,non-fatal,airplane,beech,c-99,2.0,turbo prop,0.0,0.0,0.0,0.0,35.138611,-111.671111,no,flagstaff,az
"las vegas, nv",accident,2001-11-30,united states,non-fatal,airplane,air tractor,at-402a,1.0,turbo prop,0.0,0.0,0.0,0.0,36.066667,-115.153889,no,las vegas,nv
"perry, tx",accident,2001-11-30,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,31.637777,-97.073889,no,perry,tx
"st paul, mn",accident,2001-11-30,united states,non-fatal,airplane,mitsubishi,mu-2b-40,2.0,turbo prop,0.0,0.0,0.0,0.0,unknown,unknown,no,st paul,mn
"las vegas, nv",accident,2001-11-30,united states,non-fatal,airplane,air tractor,at-401b,1.0,reciprocating,0.0,0.0,0.0,0.0,36.066667,-115.153889,no,las vegas,nv
"romulus, mi",accident,2001-11-30,united states,non-fatal,airplane,mcdonnell douglas,dc-9-82,2.0,turbo fan,0.0,0.0,1.0,0.0,unknown,unknown,no,romulus,mi
"prescott, az",accident,2001-12-01,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,2.0,0.0,2.0,34.654444,-112.419723,no,prescott,az
"banning, ca",accident,2001-12-01,united states,non-fatal,airplane,classic aircraft corp.,waco ymf,1.0,reciprocating,0.0,0.0,0.0,0.0,33.251667,-117.53,no,banning,ca
"ardmore, ok",accident,2001-12-01,united states,non-fatal,airplane,bell,47g,1.0,reciprocating,0.0,0.0,0.0,0.0,34.146111,-97.1225,no,ardmore,ok
"bessemer, al",accident,2001-12-01,united states,fatal(2),airplane,cessna,208b,1.0,turbo prop,2.0,0.0,0.0,0.0,33.313333,-86.935833,no,bessemer,al
"long beach, ca",accident,2001-12-02,united states,non-fatal,airplane,bellanca,8kcab,1.0,reciprocating,0.0,0.0,1.0,0.0,33.817778,-118.151667,no,long beach,ca
"el dorado, ca",accident,2001-12-02,united states,fatal(4),airplane,piper,pa-24-250,1.0,reciprocating,4.0,0.0,0.0,0.0,38.604722,-120.85,no,el dorado,ca
"devils lake, nd",accident,2001-12-03,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,devils lake,nd
"corona, ca",accident,2001-12-04,united states,non-fatal,airplane,cessna,172c,1.0,reciprocating,0.0,0.0,0.0,0.0,33.883333,-117.604167,no,corona,ca
"johnson city, tn",accident,2001-12-04,united states,fatal(1),airplane,beech,be-55-t42a,2.0,reciprocating,1.0,0.0,0.0,0.0,36.359722,-82.312778,no,johnson city,tn
"prescott, az",accident,2001-12-05,united states,fatal(2),airplane,cessna,182e,1.0,reciprocating,2.0,0.0,2.0,0.0,34.6575,-112.421667,no,prescott,az
"sidney, mt",accident,2001-12-06,united states,non-fatal,airplane,cessna,310,2.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,sidney,mt
"sunny isles bch, fl",accident,2001-12-06,united states,non-fatal,airplane,convair div. of gen. dynamics,340-580stc,2.0,turbo prop,0.0,2.0,0.0,2.0,25.933889,-80.12,no,sunny isles bch,fl
"livermore falls, me",accident,2001-12-07,united states,non-fatal,airplane,piper,j3,1.0,reciprocating,0.0,1.0,0.0,1.0,44.411111,-70.145277,no,livermore falls,me
"santa rosa, nm",accident,2001-12-07,united states,non-fatal,airplane,beech,be-90-e90,2.0,turbo prop,0.0,0.0,0.0,0.0,34.934166,-104.634166,no,santa rosa,nm
"haltom city, tx",accident,2001-12-07,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,0.0,0.0,0.0,32.353889,-97.676389,no,haltom city,tx
"ravenna, oh",accident,2001-12-08,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,41.21,-81.257778,no,ravenna,oh
"new orleans, la",accident,2001-12-08,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,new orleans,la
"new orleans, la",accident,2001-12-08,united states,non-fatal,airplane,curtiss-wright,sb2c-5,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,new orleans,la
"boston, ma",accident,2001-12-09,united states,non-fatal,airplane,rockwell,na-265-80,2.0,turbo fan,0.0,0.0,0.0,0.0,42.364167,-71.005,no,boston,ma
"honolulu, hi",accident,2001-12-09,united states,non-fatal,airplane,cessna,150k,1.0,reciprocating,0.0,1.0,0.0,1.0,21.2775,-157.770834,no,honolulu,hi
"reedsburg, wi",accident,2001-12-09,united states,non-fatal,airplane,cessna,172l,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,reedsburg,wi
"o'neill, ne",accident,2001-12-09,united states,non-fatal,airplane,piper,pa-38-112,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,o'neill,ne
"lawrence, ks",accident,2001-12-09,united states,non-fatal,airplane,dassault aviation,falcon 100,2.0,turbo jet,0.0,0.0,0.0,0.0,unknown,unknown,no,lawrence,ks
"monticello, ar",accident,2001-12-09,united states,fatal(2),airplane,cessna,t210-m,1.0,reciprocating,2.0,0.0,0.0,0.0,33.6375,-91.858333,no,monticello,ar
"lake michigan, il",accident,2001-12-09,united states,fatal(4),airplane,cessna,r182,1.0,reciprocating,4.0,0.0,0.0,0.0,42.083333,-87.611111,no,lake michigan,il
"halfway, or",accident,2001-12-10,united states,non-fatal,airplane,maule,m-7-235,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,halfway,or
"san antonio, tx",accident,2001-12-10,united states,non-fatal,airplane,cessna,t210k,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,san antonio,tx
"sierra blanca, tx",accident,2001-12-10,united states,fatal(2),airplane,gates learjet,24d,2.0,turbo jet,2.0,0.0,0.0,0.0,31.533333,-105.625834,no,sierra blanca,tx
"la verne, ca",accident,2001-12-11,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,0.0,0.0,0.0,34.091666,-117.781945,no,la verne,ca
"netarts, or",accident,2001-12-11,united states,fatal(2),airplane,mooney,m20c,1.0,reciprocating,2.0,0.0,0.0,0.0,unknown,unknown,no,netarts,or
"sierra blanca, tx",accident,2001-12-12,united states,non-fatal,airplane,ryan,navion a,1.0,reciprocating,0.0,0.0,2.0,0.0,31.517778,-105.418611,no,sierra blanca,tx
"duncan, ok",accident,2001-12-12,united states,non-fatal,airplane,piper,pa-23-250,2.0,reciprocating,0.0,0.0,1.0,0.0,34.457222,-97.960833,no,duncan,ok
"jacksonville, fl",accident,2001-12-12,united states,fatal(4),airplane,piper,pa-32-260,1.0,reciprocating,4.0,0.0,0.0,0.0,30.506111,-81.706111,no,jacksonville,fl
"raleigh, nc",accident,2001-12-12,united states,fatal(3),airplane,piper,pa-46-350p,1.0,reciprocating,3.0,0.0,0.0,0.0,35.874445,-78.747222,no,raleigh,nc
"waukesha, wi",accident,2001-12-12,united states,fatal(1),airplane,robinson,r44,1.0,reciprocating,1.0,1.0,1.0,1.0,43.046111,-88.239444,no,waukesha,wi
"montgomery, al",accident,2001-12-12,united states,fatal(3),airplane,beech,be-55,2.0,reciprocating,3.0,0.0,0.0,0.0,32.285833,-86.366945,no,montgomery,al
"groveland, ca",accident,2001-12-13,united states,non-fatal,airplane,piper,pa-32r-301t,1.0,reciprocating,0.0,0.0,0.0,0.0,37.861667,-120.177778,no,groveland,ca
"broomfield, co",accident,2001-12-13,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,broomfield,co
"kingman, az",accident,2001-12-13,united states,non-fatal,airplane,beech,95,2.0,reciprocating,0.0,0.0,0.0,0.0,35.259444,-113.938055,no,kingman,az
"chicago, il",incident,2001-12-13,united states,incident,airplane,boeing,737-322,2.0,turbo fan,0.0,0.0,0.0,0.0,unknown,unknown,no,chicago,il
"san jacinto, ca",accident,2001-12-14,united states,fatal(1),airplane,cessna,t210l,1.0,reciprocating,1.0,0.0,0.0,0.0,33.824167,-116.886944,no,san jacinto,ca
"anchorage, ak",incident,2001-12-14,united states,incident,airplane,douglas,dc-8-71f,4.0,turbo fan,0.0,0.0,0.0,0.0,61.2,-149.833333,no,anchorage,ak
"norfolk, va",accident,2001-12-15,united states,non-fatal,airplane,cessna,182q,1.0,reciprocating,0.0,0.0,0.0,0.0,36.78,-76.448611,no,norfolk,va
"santa maria, ca",accident,2001-12-16,united states,non-fatal,airplane,cessna,r182,1.0,reciprocating,0.0,0.0,0.0,0.0,34.883333,-120.462778,no,santa maria,ca
"el paso, tx",accident,2001-12-16,united states,non-fatal,airplane,schleicher,asw-24e,1.0,reciprocating,0.0,0.0,1.0,0.0,31.719445,-106.239166,no,el paso,tx
"cross keys, nj",accident,2001-12-17,united states,non-fatal,airplane,piper,pa-28,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,cross keys,nj
"martinsburg, wv",accident,2001-12-17,united states,non-fatal,airplane,cessna,401a,2.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,martinsburg,wv
"new braunfels, tx",accident,2001-12-17,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,29.704444,-98.042222,no,new braunfels,tx
"clinton, mo",accident,2001-12-17,united states,non-fatal,airplane,piper,pa-34,2.0,reciprocating,0.0,2.0,0.0,2.0,unknown,unknown,no,clinton,mo
"new smyrna bch, fl",accident,2001-12-18,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,4.0,0.0,29.055556,-80.948333,no,new smyrna bch,fl
"reno, nv",accident,2001-12-18,united states,non-fatal,airplane,cessna,185f,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,reno,nv
"crested butte, co",accident,2001-12-18,united states,non-fatal,airplane,piper,pa-28-235,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,crested butte,co
"nashville, mi",accident,2001-12-18,united states,non-fatal,airplane,cessna,182k,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,nashville,mi
"san diego, ca",accident,2001-12-19,united states,non-fatal,airplane,cessna,t210n,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,san diego,ca
"show low, az",accident,2001-12-20,united states,non-fatal,airplane,piper,pa-28-140,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,show low,az
"lewiston, me",accident,2001-12-20,united states,non-fatal,airplane,cessna,208b,1.0,turbo prop,0.0,0.0,0.0,0.0,44.048333,-70.283333,no,lewiston,me
"boston, ma",accident,2001-12-20,united states,non-fatal,airplane,raytheon,be-1900d,2.0,turbo prop,0.0,0.0,1.0,0.0,unknown,unknown,no,boston,ma
"elkhart, in",accident,2001-12-21,united states,non-fatal,airplane,cessna,182p,1.0,reciprocating,0.0,1.0,1.0,1.0,unknown,unknown,no,elkhart,in
"vero beach, fl",accident,2001-12-21,united states,non-fatal,airplane,cessna,210d,1.0,reciprocating,0.0,1.0,0.0,1.0,27.655556,-80.418056,no,vero beach,fl
"santa rosa, ca",accident,2001-12-24,united states,non-fatal,airplane,cessna,t210m,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,santa rosa,ca
"prescott, az",accident,2001-12-24,united states,non-fatal,airplane,piper,pa-28rt-201,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,prescott,az
"olathe, ks",accident,2001-12-25,united states,non-fatal,airplane,piper,pa-32-300,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,olathe,ks
"san clemente, ca",accident,2001-12-25,united states,fatal(2),airplane,cessna,172n,1.0,reciprocating,2.0,0.0,1.0,0.0,33.342223,-117.527222,no,san clemente,ca
"falmouth, ky",accident,2001-12-26,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,1.0,0.0,1.0,unknown,unknown,no,falmouth,ky
"kennesaw, ga",accident,2001-12-26,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,34.013056,-84.598611,no,kennesaw,ga
"winters, ca",accident,2001-12-26,united states,non-fatal,airplane,aeronca,7ac,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,winters,ca
"trenton, fl",accident,2001-12-27,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,3.0,0.0,3.0,29.588889,-82.871111,no,trenton,fl
"anchorage, ak",accident,2001-12-28,united states,non-fatal,airplane,boeing,747-128,4.0,turbo fan,0.0,0.0,0.0,0.0,61.179445,-149.983333,no,anchorage,ak
"chicago, il",incident,2001-12-28,united states,incident,airplane,boeing,737-522,2.0,turbo fan,0.0,0.0,0.0,0.0,41.979723,-87.904444,no,chicago,il
"sunriver, or",accident,2001-12-29,united states,non-fatal,airplane,pilatus,pc-12,1.0,turbo prop,0.0,0.0,0.0,0.0,43.876111,-121.453056,no,sunriver,or
"long beach, ca",accident,2001-12-29,united states,non-fatal,airplane,piper,pa-28-161,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,long beach,ca
"gainesville, ga",accident,2001-12-29,united states,fatal(1),airplane,mooney,m20c,1.0,reciprocating,1.0,0.0,0.0,0.0,34.250833,-83.838055,no,gainesville,ga
"lilburn, ga",accident,2001-12-29,united states,fatal(1),airplane,cessna,c-210n,1.0,reciprocating,1.0,0.0,0.0,0.0,33.519445,-84.119167,no,lilburn,ga
"martinsville, va",accident,2001-12-30,united states,non-fatal,airplane,mooney,m20c,1.0,reciprocating,0.0,1.0,0.0,1.0,36.630556,-80.018334,no,martinsville,va
"tappahannock, va",accident,2001-12-30,united states,non-fatal,airplane,cessna,310h,2.0,reciprocating,0.0,0.0,0.0,0.0,37.925,-76.871389,no,tappahannock,va
"milford, ct",accident,2001-12-30,united states,fatal(1),airplane,piper,pa-28r-180,1.0,reciprocating,1.0,0.0,0.0,0.0,41.182223,-73.026945,no,milford,ct
"danbury, ct",accident,2001-12-31,united states,non-fatal,airplane,cessna,182,1.0,reciprocating,0.0,0.0,0.0,0.0,41.371389,-73.481945,no,danbury,ct
"armonk, ny",accident,2001-12-31,united states,fatal(1),airplane,raytheon,be-23-b24r,1.0,reciprocating,1.0,0.0,0.0,0.0,41.113611,-73.718056,no,armonk,ny
"hollywood, fl",accident,2002-01-01,united states,fatal(1),airplane,piper,pa-31-350,2.0,reciprocating,1.0,0.0,4.0,0.0,26.062778,-80.108889,no,hollywood,fl
"miami, fl",incident,2002-01-01,united states,incident,airplane,mcdonnell douglas,md-83,2.0,turbo fan,0.0,0.0,0.0,0.0,25.799722,-80.295,no,miami,fl
"boise, id",accident,2002-01-02,united states,non-fatal,airplane,beech,58p,2.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,boise,id
"greenville, sc",accident,2002-01-02,united states,non-fatal,airplane,boeing,727-200,3.0,turbo fan,0.0,0.0,0.0,0.0,34.885833,-82.2175,no,greenville,sc
"lake leelanau, mi",accident,2002-01-03,united states,non-fatal,airplane,aeronca,11ac,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,lake leelanau,mi
"houston, tx",incident,2002-01-03,united states,incident,airplane,boeing,747-228f,4.0,turbo fan,0.0,0.0,0.0,0.0,29.980278,-95.339722,no,houston,tx
"petaluma, ca",accident,2002-01-04,united states,fatal(1),airplane,cessna,152,1.0,reciprocating,1.0,0.0,0.0,0.0,35.266667,-122.55,no,petaluma,ca
"reno, nv",accident,2002-01-05,united states,non-fatal,airplane,piper,pa-18-150,1.0,reciprocating,0.0,0.0,0.0,0.0,39.667223,-119.871111,no,reno,nv
"east troy, wi",accident,2002-01-05,united states,non-fatal,airplane,robinson,r22,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,east troy,wi
"buena park, ca",accident,2002-01-05,united states,fatal(1),airplane,cessna,t337h,2.0,reciprocating,1.0,0.0,0.0,0.0,33.869445,-117.990277,no,buena park,ca
"oak grove, la",accident,2002-01-05,united states,fatal(1),airplane,beech,95-b55,2.0,reciprocating,1.0,0.0,0.0,0.0,32.963611,-91.418056,no,oak grove,la
"boulder, co",accident,2002-01-05,united states,fatal(1),airplane,cessna,172k,1.0,reciprocating,1.0,0.0,0.0,0.0,40.093611,-105.293611,no,boulder,co
"tampa, fl",accident,2002-01-05,united states,fatal(1),airplane,cessna,172r,1.0,reciprocating,1.0,0.0,0.0,0.0,27.916389,-82.690277,no,tampa,fl
"rio grande, pr",accident,2002-01-05,united states,fatal(5),airplane,cessna,441,2.0,turbo prop,5.0,0.0,0.0,0.0,18.317778,-65.767223,no,rio grande,pr
"sturgis, mi",accident,2002-01-06,united states,non-fatal,airplane,cessna,414a,2.0,reciprocating,0.0,1.0,1.0,1.0,unknown,unknown,no,sturgis,mi
"angola, in",accident,2002-01-06,united states,non-fatal,airplane,beech,s35,1.0,reciprocating,0.0,0.0,0.0,0.0,41.635555,-85.094444,no,angola,in
"clewiston, fl",accident,2002-01-07,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,0.0,0.0,0.0,26.741944,-81.033333,no,clewiston,fl
"covington, ky",accident,2002-01-08,united states,non-fatal,airplane,swearingen,sa-227-at,2.0,turbo prop,0.0,1.0,0.0,1.0,39.0525,-84.651667,no,covington,ky
"bellewood, ms",accident,2002-01-08,united states,non-fatal,airplane,cessna,170b,1.0,reciprocating,0.0,1.0,0.0,1.0,33.145277,-90.515278,no,bellewood,ms
"great falls, mt",accident,2002-01-09,united states,non-fatal,airplane,cessna,210l,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,great falls,mt
"durango, co",accident,2002-01-09,united states,non-fatal,airplane,cessna,172n,1.0,reciprocating,0.0,0.0,2.0,0.0,37.55,-107.866945,no,durango,co
"albuquerque, nm",accident,2002-01-10,united states,non-fatal,airplane,piper,pa-46t,1.0,turbo prop,0.0,0.0,0.0,0.0,unknown,unknown,no,albuquerque,nm
"renton, wa",accident,2002-01-11,united states,non-fatal,airplane,robinson,r22 beta,1.0,reciprocating,0.0,2.0,0.0,2.0,47.449166,-122.226111,no,renton,wa
"tehachapi, ca",accident,2002-01-11,united states,non-fatal,airplane,piper,pa-22-108,1.0,reciprocating,0.0,2.0,0.0,2.0,35.135277,-118.439722,no,tehachapi,ca
"nantucket, ma",accident,2002-01-12,united states,non-fatal,airplane,piper,pa-28,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,nantucket,ma
"sugar land, tx",accident,2002-01-12,united states,non-fatal,airplane,cessna,172s,1.0,reciprocating,0.0,0.0,0.0,0.0,29.622223,-95.394166,no,sugar land,tx
"anchorage, ak",accident,2002-01-12,united states,non-fatal,airplane,piper,pa-18,1.0,reciprocating,0.0,0.0,0.0,0.0,61.214444,-149.846111,no,anchorage,ak
"clinton, wa",accident,2002-01-13,united states,non-fatal,airplane,cessna,150m,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,clinton,wa
"oceano, ca",accident,2002-01-13,united states,non-fatal,airplane,piper,pa-24-250,1.0,reciprocating,0.0,0.0,0.0,0.0,35.101389,-120.622223,no,oceano,ca
"grand junction, co",accident,2002-01-13,united states,non-fatal,airplane,maule,m-5-235c,1.0,reciprocating,0.0,0.0,0.0,0.0,39.122223,-108.527778,no,grand junction,co
"mattoon, il",accident,2002-01-13,united states,non-fatal,airplane,beech,v35b,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,mattoon,il
"sanford, nc",accident,2002-01-13,united states,non-fatal,airplane,cessna,172m,1.0,reciprocating,0.0,0.0,0.0,0.0,35.433889,-79.1825,no,sanford,nc
"bayou la batre, al",accident,2002-01-13,united states,non-fatal,airplane,consolidated-vultee,108-m,1.0,reciprocating,0.0,0.0,1.0,0.0,30.454722,-88.210556,no,bayou la batre,al
"ilwaco, wa",accident,2002-01-13,united states,fatal(1),airplane,cessna,150g,1.0,reciprocating,1.0,0.0,0.0,0.0,46.3025,-124.009167,no,ilwaco,wa
"micanopy, fl",accident,2002-01-13,united states,fatal(2),airplane,piper,pa-24-250,1.0,reciprocating,2.0,0.0,0.0,0.0,29.431667,-82.35,no,micanopy,fl
"groveland, ca",accident,2002-01-14,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,0.0,1.0,0.0,36.156389,-119.326111,no,groveland,ca
"oxford, ma",accident,2002-01-14,united states,non-fatal,airplane,piper,pa-28-180,1.0,reciprocating,0.0,1.0,0.0,1.0,unknown,unknown,no,oxford,ma
"pagosa springs, co",accident,2002-01-14,united states,non-fatal,airplane,piper,pa-23-250,2.0,reciprocating,0.0,4.0,0.0,4.0,37.244444,-107.0625,no,pagosa springs,co
"plainview, tx",accident,2002-01-15,united states,non-fatal,airplane,bellanca,17-30,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,plainview,tx
"iraan, tx",accident,2002-01-15,united states,non-fatal,airplane,cessna,172,1.0,reciprocating,0.0,0.0,0.0,0.0,30.905556,-101.891944,no,iraan,tx
"haines, ak",accident,2002-01-15,united states,fatal(1),airplane,piper,pa-32,1.0,reciprocating,1.0,0.0,0.0,0.0,59.273889,-135.3675,no,haines,ak
"logan, ut",accident,2002-01-17,united states,non-fatal,airplane,cessna,152,1.0,reciprocating,0.0,1.0,0.0,1.0,unknown,unknown,no,logan,ut
"bessemer, al",accident,2002-01-17,united states,non-fatal,airplane,piper,pa-28-151,1.0,reciprocating,0.0,0.0,0.0,0.0,33.313889,-86.931945,no,bessemer,al
"lake placid, fl",accident,2002-01-17,united states,non-fatal,airplane,mooney,m20j,1.0,reciprocating,0.0,1.0,0.0,1.0,unknown,unknown,no,lake placid,fl
"sinton, tx",accident,2002-01-17,united states,fatal(1),airplane,beech,c23,1.0,reciprocating,1.0,0.0,0.0,0.0,28.035277,-97.549722,no,sinton,tx
"temple, tx",accident,2002-01-17,united states,fatal(3),airplane,cessna,340a,2.0,reciprocating,3.0,0.0,2.0,0.0,31.076667,-97.389722,no,temple,tx
"baker city, or",accident,2002-01-18,united states,non-fatal,airplane,rockwell,500-s,2.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,baker city,or
"wahoo, ne",accident,2002-01-18,united states,non-fatal,airplane,luscombe,8a,1.0,reciprocating,0.0,0.0,0.0,0.0,unknown,unknown,no,wahoo,ne
"glasgow, mt",accident,2002-01-19,united states,non-fatal,airplane,mooney,m20e,1.0,reciprocating,0.0,1.0,0.0,1.0,48.211667,-106.615,no,glasgow,mt
"dulles, va",accident,2002-01-20,united states,non-fatal,airplane,mcdonnell douglas,dc-9-32,2.0,turbo fan,0.0,0.0,0.0,0.0,38.95,-77.446666,no,dulles,va
"manassas, va",accident,2002-01-20,united states,non-fatal,airplane,robinson,r-22,1.0,reciprocating,0.0,0.0,0.0,0.0,38.721389,-77.515278,no,manassas,va
"sarasota, fl",accident,2002-01-20,united states,non-fatal,airplane,maule,m-7-235b,1.0,reciprocating,0.0,0.0,0.0,0.0,27.395277,-82.553889,no,sarasota,fl
